PRODUCT NAME,PROD CODE,CATEGORY,MRP,DISCOUNT,GST%,SELLING RATE,SELLING RATE WITHOUT GST,HSN CODE,Image Src
2387 Multipurpose Vegetable and Fruit Chopper Cutter Grater Slicer,2387,Kitchen,599,5,18,569,482,3924,https://cdn.shopify.com/s/files/1/1916/9825/products/2_ced8378b-31c0-49d7-b187-060d174019a4.jpg?v=1622137601
2330 Stainless Steel Salad Vegetable Potato Chips Cutter Chopper,2330,Kitchen,1199,30,18,839,711,7220,https://cdn.shopify.com/s/files/1/1916/9825/products/2330.jpg?v=1619126327
"2414 Portable Mini Gas Travelling Stove, Small Gas Stove",2414,Kitchen,599,0,18,599,508,7321,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_d4be8682-b29c-4afa-9a68-d4ada2214200.jpg?v=1623953220
1401 Bathroom Accessories Folding Towel Rack,1401,Home Improvement,1299,30,18,909,771,7324,https://cdn.shopify.com/s/files/1/1916/9825/products/1401.jpg?v=1619722983
1635 Jet Water Cannon 8 in 1 Turbo Water Spray Gun,1635,Garden,599,20,18,479,406,8201,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODE_cef225a4-a162-4f27-bbf2-e58db76da80a.jpg?v=1622733194
1447 VR Pro Virtual Reality 3D Glasses Headset,1447,Mobile Accessories,999,25,18,749,635,8529,https://cdn.shopify.com/s/files/1/1916/9825/products/Untitled-8_07e8f36e-3f13-4617-8362-e567302e8d64.jpg?v=1628184536
"1005 Effete Emperor Center Filled Choco (32 Units, 245 gm)",1005,Chocolate,299,0,18,299,253,180690,https://cdn.shopify.com/s/files/1/1916/9825/products/2fe2bcbb-9d37-4388-be6f-51d191e1889b.jpg?v=1606576175
7216 N95 Reusable and Washable Anti Pollution/Virus Face Mask,7216,"Beauty, Health & Personal Care",429,10,5,386,368,330491,https://cdn.shopify.com/s/files/1/1916/9825/products/721603.jpg?v=1631278558
1330 Multi Surface Disinfectant Spray (350 ml),1330,Cleaning supplies,299,0,18,299,253,340119,https://cdn.shopify.com/s/files/1/1916/9825/products/1330-1photo_e766f849-0e6e-49bb-ae36-a281898129e4.jpg?v=1618532244
1289 All Universal Tablet & Mobile Holder with Anti-Slip & Anti-Scratch Design,1289,Mobile Accessories,699,15,18,594,504,342690,https://cdn.shopify.com/s/files/1/1916/9825/products/128910.jpg?v=1632738785
1333 Mobile Phone Video Screen Magnifier Amplifier for Eyes Protection,1333,Mobile Accessories,399,25,18,299,254,342690,https://cdn.shopify.com/s/files/1/1916/9825/products/635207-albt5b_ef4e084c-5b64-4359-b37e-39ebfb11710e.jpg?v=1618532250
0483 Transparent HOT MELT Glue Sticks for DIY and Craft Work Big 10 mm 8 inch  (Set of 40),0483,Stationery,659,20,18,527,447,350699,https://cdn.shopify.com/s/files/1/1916/9825/products/SKUCODEcopy_f59b83b3-0e31-485a-a4b8-e9d30210656b.jpg?v=1619125508
1259 Reusable Insulated Grocery Shopping Cloth Bag Washable and Foldable,1259,Home Improvement,499,35,18,324,275,362690,https://cdn.shopify.com/s/files/1/1916/9825/products/Foldableshoppingbag.jpg?v=1606576946
1722 Anti Mosquito Racket - Rechargeable Insect Killer Bat,1722,"Beauty, Health & Personal Care",599,10,18,539,457,380891,https://cdn.shopify.com/s/files/1/1916/9825/products/172203.jpg?v=1630602508
"4609 Octagon Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",4609,Toys For Kids,299,5,18,284,241,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/460902.jpg?v=1632481908
"4696 Square Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",4696,Toys For Kids,299,0,18,299,253,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/469603.jpg?v=1632476949
"4695 Round Pop It Fidget Toys,Push Pop Bubble Fidget Sensory Toy",4695,Toys For Kids,299,0,18,299,253,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/4695_6.jpg?v=1632477617
4690 Silicone Anti Slip Food Grade Round Coasters Trivets Mat Pads,4690,Kitchen,599,35,18,389,330,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/469008_9f22371a-f997-4b4d-9a21-4a9063fa91a7.jpg?v=1632207656
4668 Silicone Plastic Folding Collapsible Durable Kitchen Sink Dish Rack,4668,Kitchen,499,5,18,474,402,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/466801.jpg?v=1630007774
2379 Multiple Shape Metal Moulds for Baking Non-Stick Cake Tins,2379,Kitchen,599,5,18,569,482,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/2379.jpg?v=1621546742
1144  Silicone Ice Cube Trays 24 Cavity Per Ice Tray [Multicolour],1144,Kitchen,299,0,18,299,253,391000,https://cdn.shopify.com/s/files/1/1916/9825/products/9879846549841.jpg?v=1615511225
